destination_id,year,rows
160,2022,23960
160,2023,23818
160,2024,21345
160,2025,21460
160,2026,12562
170,1990,0
170,1991,0
170,1992,0
170,1993,0
170,1994,0
170,1995,0
170,1996,0
170,1997,0
170,1998,3010
170,1999,2807
170,2000,12237
170,2001,14948
170,2002,11521
170,2003,12758
170,2004,13219
170,2005,12577
170,2006,12351
170,2007,13718
170,2008,15111
170,2009,14377
170,2010,14490
170,2011,14404
170,2012,15060
170,2013,15562
170,2014,15150
170,2015,14896
170,2016,14906
170,2017,14711
170,2018,15056
170,2019,15065
170,2020,12020
170,2021,11864
170,2022,13666
170,2023,13335
170,2024,12957
170,2025,11093
170,2026,0
172,1990,0
172,1991,0
172,1992,0
172,1993,0
172,1994,0
172,1995,0
172,1996,0
172,1997,0
172,1998,0
172,1999,0
172,2000,0
172,2001,0
172,2002,0
172,2003,0
172,2004,0
172,2005,0
172,2006,0
172,2007,0
172,2008,0
172,2009,0
172,2010,0
172,2011,0
172,2012,0
172,2013,0
172,2014,1298
172,2015,3138
172,2016,3118
172,2017,3053
172,2018,3090
172,2019,2824
172,2020,1747
172,2021,2678
172,2022,3065
172,2023,2996
172,2024,2986
172,2025,2981
172,2026,1747
180,1990,0
180,1991,0
180,1992,0
180,1993,0
180,1994,0
180,1995,0
180,1996,0
180,1997,0
180,1998,2103
180,1999,2686
180,2000,15832
180,2001,18648
180,2002,19458
180,2003,21683
180,2004,19526
180,2005,27101
180,2006,32329
180,2007,33374
180,2008,32801
180,2009,31114
180,2010,22906
180,2011,19761
180,2012,22205
180,2013,28304
180,2014,23174
180,2015,22929
180,2016,20951
180,2017,19011
180,2018,18880
180,2019,14369
180,2020,13182
180,2021,19288
180,2022,19683
180,2023,18760
180,2024,17357
180,2025,7760
180,2026,10800
181,1990,0
181,1991,0
181,1992,0
181,1993,0
181,1994,0
181,1995,0
181,1996,0
181,1997,0
181,1998,0
181,1999,0
181,2000,0
181,2001,0
181,2002,0
181,2003,0
181,2004,0
181,2005,0
181,2006,0
181,2007,0
181,2008,0
181,2009,0
181,2010,0
181,2011,0
181,2012,0
181,2013,0
181,2014,0
181,2015,0
181,2016,0
181,2017,0
181,2018,0
181,2019,5721
181,2020,13201
181,2021,19333
181,2022,19674
181,2023,18734
181,2024,17343
181,2025,7760
181,2026,10800
190,1990,0
190,1991,0
190,1992,0
190,1993,0
190,1994,0
190,1995,0
190,1996,0
190,1997,0
190,1998,5452
190,1999,5247
190,2000,22686
190,2001,22932
190,2002,22609
190,2003,22866
190,2004,23887
190,2005,23407
190,2006,23065
190,2007,22564
190,2008,23196
190,2009,22585
190,2010,21435
190,2011,22079
190,2012,23246
190,2013,23624
190,2014,22495
190,2015,22716
190,2016,23221
190,2017,22613
190,2018,23066
190,2019,23536
190,2020,18199
190,2021,20955
190,2022,23660
190,2023,23550
190,2024,23190
190,2025,22999
190,2026,13871
200,1990,0
200,1991,0
200,1992,0
200,1993,0
200,1994,0
200,1995,0
200,1996,0
200,1997,0
200,1998,2838
200,1999,2624
200,2000,5090
200,2001,5810
200,2002,6899
200,2003,6533
200,2004,5956
200,2005,5921
200,2006,5793
200,2007,5639
200,2008,6282
200,2009,6617
200,2010,6503
200,2011,6989
200,2012,8215
200,2013,9160
200,2014,7842
200,2015,7051
200,2016,8043
200,2017,7808
200,2018,8112
200,2019,8684
200,2020,5055
200,2021,5571
200,2022,4902
200,2023,5502
200,2024,5562
200,2025,5454
200,2026,3294
210,1990,0
210,1991,0
210,1992,0
210,1993,0
210,1994,0
210,1995,0
210,1996,0
210,1997,0
210,1998,3524
210,1999,3605
210,2000,15880
210,2001,17178
210,2002,16287
210,2003,15826
210,2004,16664
210,2005,16470
210,2006,16687
210,2007,17257
210,2008,16874
210,2009,16473
210,2010,14994
210,2011,15254
210,2012,16570
210,2013,16422
210,2014,15976
210,2015,16510
210,2016,17989
210,2017,18081
210,2018,16809
210,2019,15082
210,2020,11372
210,2021,13565
210,2022,13571
210,2023,13384
210,2024,13355
210,2025,14634
210,2026,9042
220,1990,0
220,1991,0
220,1992,0
220,1993,0
220,1994,0
220,1995,0
220,1996,0
220,1997,0
220,1998,3812
220,1999,3598
220,2000,15639
220,2001,15597
220,2002,14284
220,2003,13755
220,2004,13444
220,2005,13480
220,2006,13775
220,2007,14360
220,2008,13803
220,2009,12587
220,2010,11020
220,2011,11722
220,2012,12866
220,2013,13334
220,2014,14217
220,2015,14518
220,2016,14572
220,2017,14949
220,2018,15120
220,2019,15119
220,2020,12240
220,2021,13980
220,2022,15115
220,2023,14940
220,2024,14935
220,2025,15060
220,2026,8878
230,1990,0
230,1991,0
230,1992,0
230,1993,0
230,1994,0
230,1995,0
230,1996,0
230,1997,0
230,1998,1353
230,1999,2021
230,2000,8993
230,2001,10167
230,2002,8828
230,2003,12668
230,2004,13074
230,2005,13082
230,2006,13961
230,2007,13792
230,2008,15461
230,2009,16312
230,2010,16157
230,2011,16619
230,2012,17991
230,2013,19953
230,2014,19539
230,2015,19103
230,2016,19662
230,2017,20107
230,2018,20041
230,2019,11791
230,2020,12358
230,2021,16229
230,2022,16755
230,2023,16652
230,2024,16371
230,2025,15918
230,2026,10016
231,1990,0
231,1991,0
231,1992,0
231,1993,0
231,1994,0
231,1995,0
231,1996,0
231,1997,0
231,1998,0
231,1999,0
231,2000,0
231,2001,0
231,2002,1227
231,2003,2399
231,2004,2443
231,2005,2169
231,2006,1960
231,2007,1873
231,2008,2220
231,2009,2715
231,2010,3102
231,2011,1684
231,2012,3213
231,2013,3676
231,2014,3793
231,2015,3818
231,2016,3782
231,2017,3845
231,2018,3968
231,2019,1575
231,2020,0
231,2021,0
231,2022,0
231,2023,0
231,2024,0
231,2025,0
231,2026,0
240,1990,0
240,1991,0
240,1992,0
240,1993,0
240,1994,0
240,1995,0
240,1996,0
240,1997,0
240,1998,0
240,1999,0
240,2000,13677
240,2001,11879
240,2002,12235
240,2003,12618
240,2004,13283
240,2005,12537
240,2006,11886
240,2007,13140
240,2008,14299
240,2009,13186
240,2010,11549
240,2011,13097
240,2012,15519
240,2013,15301
240,2014,14768
240,2015,14080
240,2016,13984
240,2017,12553
240,2018,12598
240,2019,9150
240,2020,9973
240,2021,12042
240,2022,12800
240,2023,12698
240,2024,12596
240,2025,12217
240,2026,7086
250,1990,0
250,1991,0
250,1992,0
250,1993,0
250,1994,0
250,1995,0
250,1996,0
250,1997,0
250,1998,2929
250,1999,2895
250,2000,10444
250,2001,12597
250,2002,12615
250,2003,12501
250,2004,12763
250,2005,12463
250,2006,12292
250,2007,12113
250,2008,12182
250,2009,11881
250,2010,11282
250,2011,11901
250,2012,12394
250,2013,12445
250,2014,12256
250,2015,12209
250,2016,12368
250,2017,12215
250,2018,12271
250,2019,12481
250,2020,10354
250,2021,12023
250,2022,11972
250,2023,11857
250,2024,11654
250,2025,11939
250,2026,7013
252,1990,0
252,1991,0
252,1992,0
252,1993,0
252,1994,0
252,1995,0
252,1996,0
252,1997,0
252,1998,0
252,1999,0
252,2000,0
252,2001,0
252,2002,0
252,2003,0
252,2004,0
252,2005,0
252,2006,0
252,2007,0
252,2008,0
252,2009,0
252,2010,0
252,2011,0
252,2012,0
252,2013,0
252,2014,0
252,2015,0
252,2016,0
252,2017,0
252,2018,0
252,2019,0
252,2020,0
252,2021,0
252,2022,0
252,2023,6100
252,2024,9148
252,2025,8609
252,2026,5031
260,1990,0
260,1991,0
260,1992,0
260,1993,0
260,1994,0
260,1995,0
260,1996,0
260,1997,0
260,1998,4079
260,1999,3352
260,2000,15093
260,2001,15769
260,2002,15856
260,2003,15347
260,2004,15925
260,2005,15509
260,2006,15143
260,2007,14956
260,2008,15215
260,2009,15008
260,2010,14556
260,2011,15212
260,2012,15358
260,2013,15670
260,2014,15513
260,2015,15604
260,2016,15346
260,2017,15833
260,2018,15355
260,2019,14936
260,2020,12110
260,2021,14109
260,2022,14056
260,2023,14071
260,2024,13271
260,2025,12864
260,2026,7548
261,1990,0
261,1991,0
261,1992,0
261,1993,0
261,1994,0
261,1995,0
261,1996,0
261,1997,0
261,1998,2788
261,1999,2622
261,2000,11575
261,2001,12793
261,2002,11695
261,2003,13104
261,2004,14091
261,2005,12652
261,2006,11777
261,2007,12534
261,2008,12311
261,2009,12735
261,2010,12645
261,2011,13671
261,2012,14858
261,2013,15390
261,2014,14360
261,2015,14670
261,2016,14445
261,2017,15698
261,2018,15719
261,2019,13177
261,2020,9681
261,2021,13579
261,2022,15905
261,2023,15157
261,2024,13583
261,2025,16248
261,2026,8547
270,1990,0
270,1991,0
270,1992,0
270,1993,0
270,1994,0
270,1995,0
270,1996,0
270,1997,0
270,1998,2593
270,1999,0
270,2000,0
270,2001,0
270,2002,7094
270,2003,13662
270,2004,15051
270,2005,15348
270,2006,14715
270,2007,14801
270,2008,14223
270,2009,14104
270,2010,12704
270,2011,13898
270,2012,14781
270,2013,14173
270,2014,14006
270,2015,13893
270,2016,14073
270,2017,14008
270,2018,13887
270,2019,9684
270,2020,10125
270,2021,13746
270,2022,13553
270,2023,13517
270,2024,13582
270,2025,13478
270,2026,7985
280,1990,0
280,1991,0
280,1992,0
280,1993,0
280,1994,0
280,1995,0
280,1996,0
280,1997,0
280,1998,2209
280,1999,2135
280,2000,7806
280,2001,8746
280,2002,9425
280,2003,9103
280,2004,9368
280,2005,9481
280,2006,9084
280,2007,8449
280,2008,7037
280,2009,5764
280,2010,6866
280,2011,7744
280,2012,6579
280,2013,7207
280,2014,7781
280,2015,7706
280,2016,7984
280,2017,7001
280,2018,7110
280,2019,7291
280,2020,5580
280,2021,7558
280,2022,7779
280,2023,8261
280,2024,8300
280,2025,8316
280,2026,4851
281,1990,0
281,1991,0
281,1992,0
281,1993,0
281,1994,0
281,1995,0
281,1996,0
281,1997,0
281,1998,0
281,1999,0
281,2000,0
281,2001,0
281,2002,0
281,2003,0
281,2004,4430
281,2005,8023
281,2006,8288
281,2007,9330
281,2008,11043
281,2009,12350
281,2010,12294
281,2011,14132
281,2012,14998
281,2013,15549
281,2014,15551
281,2015,15460
281,2016,15609
281,2017,15334
281,2018,15117
281,2019,15120
281,2020,9897
281,2021,14504
281,2022,15060
281,2023,14646
281,2024,11962
281,2025,9243
281,2026,5771
301,1990,0
301,1991,0
301,1992,0
301,1993,0
301,1994,0
301,1995,0
301,1996,0
301,1997,0
301,1998,0
301,1999,0
301,2000,0
301,2001,0
301,2002,0
